Local Time,kW Demand,kWh_Net
01 Jan 2013 12:00 AM,149.398,178890.813
01 Jan 2013 12:15 AM,152.630,178928.969
01 Jan 2013 12:30 AM,151.539,178966.859
01 Jan 2013 12:45 AM,149.733,179004.297
01 Jan 2013 1:00 AM,152.044,179042.297
01 Jan 2013 1:15 AM,155.406,179081.156
01 Jan 2013 1:30 AM,152.543,179119.297
01 Jan 2013 1:45 AM,141.682,179154.719
01 Jan 2013 2:00 AM,141.626,179190.125
01 Jan 2013 2:15 AM,137.118,179224.391
01 Jan 2013 2:30 AM,150.271,179261.969
01 Jan 2013 2:45 AM,147.606,179298.859
01 Jan 2013 3:00 AM,142.686,179334.531
01 Jan 2013 3:15 AM,147.214,179371.344
01 Jan 2013 3:30 AM,148.678,179408.516
01 Jan 2013 3:45 AM,156.731,179447.688
01 Jan 2013 4:00 AM,146.135,179484.234
01 Jan 2013 4:15 AM,157.328,179523.563
01 Jan 2013 4:30 AM,151.018,179561.313
01 Jan 2013 4:45 AM,145.430,179597.672
01 Jan 2013 5:00 AM,143.104,179633.453
01 Jan 2013 5:15 AM,146.042,179669.953
01 Jan 2013 5:30 AM,143.553,179705.844
01 Jan 2013 5:45 AM,141.919,179741.328
01 Jan 2013 6:00 AM,140.788,179776.531
01 Jan 2013 6:15 AM,146.288,179813.094
01 Jan 2013 6:30 AM,150.913,179850.828
01 Jan 2013 6:45 AM,147.754,179887.766
01 Jan 2013 7:00 AM,145.231,179924.063
01 Jan 2013 7:15 AM,183.577,179969.969
01 Jan 2013 7:30 AM,211.280,180022.781
01 Jan 2013 7:45 AM,197.462,180072.156
01 Jan 2013 8:00 AM,219.580,180127.047
01 Jan 2013 8:15 AM,204.548,180178.188
01 Jan 2013 8:30 AM,184.776,180224.375
01 Jan 2013 8:45 AM,186.540,180271.016
01 Jan 2013 9:00 AM,183.252,180316.828
01 Jan 2013 9:15 AM,191.336,180364.656
01 Jan 2013 9:30 AM,188.573,180411.797
01 Jan 2013 9:45 AM,195.834,180460.766
01 Jan 2013 10:00 AM,186.377,180507.359
01 Jan 2013 10:15 AM,191.711,180555.281
01 Jan 2013 10:30 AM,193.099,180603.719
01 Jan 2013 10:45 AM,190.598,180651.375
01 Jan 2013 11:00 AM,180.256,180696.438
01 Jan 2013 11:15 AM,185.234,180742.734
01 Jan 2013 11:30 AM,181.325,180788.078
01 Jan 2013 11:45 AM,190.003,180835.578
01 Jan 2013 12:00 PM,211.472,180888.438
01 Jan 2013 12:15 PM,197.062,180937.703
01 Jan 2013 12:30 PM,205.609,180989.109
01 Jan 2013 12:45 PM,195.080,181037.875
01 Jan 2013 1:00 PM,208.497,181090.000
01 Jan 2013 1:15 PM,199.629,181139.906
01 Jan 2013 1:30 PM,208.008,181191.906
01 Jan 2013 1:45 PM,196.766,181241.109
01 Jan 2013 2:00 PM,194.021,181289.609
01 Jan 2013 2:15 PM,199.529,181339.484
01 Jan 2013 2:30 PM,201.276,181389.813
01 Jan 2013 2:45 PM,191.141,181437.594
01 Jan 2013 3:00 PM,184.182,181483.641
01 Jan 2013 3:15 PM,180.718,181528.813
01 Jan 2013 3:30 PM,186.253,181575.391
01 Jan 2013 3:45 PM,185.884,181621.859
01 Jan 2013 4:00 PM,184.247,181667.922
01 Jan 2013 4:15 PM,193.246,181716.234
01 Jan 2013 4:30 PM,210.635,181768.891
01 Jan 2013 4:45 PM,191.435,181816.750
01 Jan 2013 5:00 PM,218.951,181871.484
01 Jan 2013 5:15 PM,193.142,181919.766
01 Jan 2013 5:30 PM,220.271,181974.828
01 Jan 2013 5:45 PM,188.065,182021.859
01 Jan 2013 6:00 PM,216.217,182075.906
01 Jan 2013 6:15 PM,188.469,182123.016
01 Jan 2013 6:30 PM,192.411,182171.125
01 Jan 2013 6:45 PM,188.969,182218.375
01 Jan 2013 7:00 PM,187.004,182265.125
01 Jan 2013 7:15 PM,188.626,182312.281
01 Jan 2013 7:30 PM,191.244,182360.094
01 Jan 2013 7:45 PM,192.033,182408.094
01 Jan 2013 8:00 PM,189.554,182455.484
01 Jan 2013 8:15 PM,184.591,182501.625
01 Jan 2013 8:30 PM,181.668,182547.047
01 Jan 2013 8:45 PM,188.368,182594.141
01 Jan 2013 9:00 PM,207.167,182645.938
01 Jan 2013 9:15 PM,178.274,182690.500
01 Jan 2013 9:30 PM,157.596,182730.031
01 Jan 2013 9:45 PM,163.721,182770.969
01 Jan 2013 10:00 PM,167.626,182812.875
01 Jan 2013 10:15 PM,164.621,182854.016
01 Jan 2013 10:30 PM,163.721,182894.953
01 Jan 2013 10:45 PM,159.208,182934.750
01 Jan 2013 11:00 PM,161.641,182975.172
01 Jan 2013 11:15 PM,162.181,183015.703
01 Jan 2013 11:30 PM,156.021,183054.719
01 Jan 2013 11:45 PM,141.141,183090.000
02 Jan 2013 12:00 AM,148.106,183127.031
02 Jan 2013 12:15 AM,143.610,183162.922
02 Jan 2013 12:30 AM,140.085,183197.953
02 Jan 2013 12:45 AM,147.927,183234.938
02 Jan 2013 1:00 AM,148.562,183272.078
02 Jan 2013 1:15 AM,149.300,183309.391
02 Jan 2013 1:30 AM,146.686,183346.063
02 Jan 2013 1:45 AM,146.076,183382.594
02 Jan 2013 2:00 AM,157.199,183421.891
02 Jan 2013 2:15 AM,155.998,183460.891
02 Jan 2013 2:30 AM,148.132,183497.922
02 Jan 2013 2:45 AM,148.956,183535.156
02 Jan 2013 3:00 AM,150.696,183572.828
02 Jan 2013 3:15 AM,144.402,183608.938
02 Jan 2013 3:30 AM,140.875,183644.156
02 Jan 2013 3:45 AM,145.119,183680.438
02 Jan 2013 4:00 AM,142.767,183716.125
02 Jan 2013 4:15 AM,141.094,183751.391
02 Jan 2013 4:30 AM,147.778,183788.344
02 Jan 2013 4:45 AM,143.229,183824.156
02 Jan 2013 5:00 AM,148.212,183861.203
02 Jan 2013 5:15 AM,159.874,183901.172
02 Jan 2013 5:30 AM,151.404,183939.016
02 Jan 2013 5:45 AM,169.548,183981.406
02 Jan 2013 6:00 AM,152.644,184019.563
02 Jan 2013 6:15 AM,155.123,184058.344
02 Jan 2013 6:30 AM,151.960,184096.344
02 Jan 2013 6:45 AM,150.107,184133.875
02 Jan 2013 7:00 AM,158.770,184173.563
02 Jan 2013 7:15 AM,175.316,184217.391
02 Jan 2013 7:30 AM,187.004,184264.141
02 Jan 2013 7:45 AM,193.238,184312.453
02 Jan 2013 8:00 AM,198.193,184362.000
02 Jan 2013 8:15 AM,200.097,184412.016
02 Jan 2013 8:30 AM,198.062,184461.703
02 Jan 2013 8:45 AM,238.583,184521.359
02 Jan 2013 9:00 AM,264.238,184587.406
02 Jan 2013 9:15 AM,274.695,184656.094
02 Jan 2013 9:30 AM,284.928,184727.313
02 Jan 2013 9:45 AM,282.091,184797.844
02 Jan 2013 10:00 AM,283.221,184868.641
02 Jan 2013 10:15 AM,289.837,184941.109
02 Jan 2013 10:30 AM,287.771,185013.047
02 Jan 2013 10:45 AM,289.386,185085.391
02 Jan 2013 11:00 AM,303.517,185161.281
02 Jan 2013 11:15 AM,306.347,185237.859
02 Jan 2013 11:30 AM,303.036,185313.625
02 Jan 2013 11:45 AM,312.542,185391.750
02 Jan 2013 12:00 PM,300.344,185466.844
02 Jan 2013 12:15 PM,315.890,185545.813
02 Jan 2013 12:30 PM,290.712,185618.500
02 Jan 2013 12:45 PM,312.460,185696.609
02 Jan 2013 1:00 PM,289.339,185768.938
02 Jan 2013 1:15 PM,292.760,185842.125
02 Jan 2013 1:30 PM,296.738,185916.313
02 Jan 2013 1:45 PM,289.204,185988.625
02 Jan 2013 2:00 PM,294.382,186062.219
02 Jan 2013 2:15 PM,291.148,186135.000
02 Jan 2013 2:30 PM,289.285,186207.328
02 Jan 2013 2:45 PM,288.625,186279.484
02 Jan 2013 3:00 PM,283.293,186350.297
02 Jan 2013 3:15 PM,281.329,186420.641
02 Jan 2013 3:30 PM,303.000,186496.391
02 Jan 2013 3:45 PM,294.216,186569.938
02 Jan 2013 4:00 PM,295.492,186643.813
02 Jan 2013 4:15 PM,300.226,186718.875
02 Jan 2013 4:30 PM,279.895,186789.078
02 Jan 2013 4:45 PM,296.986,186863.328
02 Jan 2013 5:00 PM,271.366,186931.172
02 Jan 2013 5:15 PM,270.722,186998.844
02 Jan 2013 5:30 PM,271.341,187066.688
02 Jan 2013 5:45 PM,268.118,187133.719
02 Jan 2013 6:00 PM,259.112,187198.500
02 Jan 2013 6:15 PM,261.572,187263.891
02 Jan 2013 6:30 PM,259.762,187328.828
02 Jan 2013 6:45 PM,263.097,187394.594
02 Jan 2013 7:00 PM,265.483,187460.969
02 Jan 2013 7:15 PM,273.396,187529.313
02 Jan 2013 7:30 PM,267.060,187596.078
02 Jan 2013 7:45 PM,269.116,187663.359
02 Jan 2013 8:00 PM,269.064,187730.625
02 Jan 2013 8:15 PM,263.427,187796.484
02 Jan 2013 8:30 PM,269.569,187863.875
02 Jan 2013 8:45 PM,243.602,187924.781
02 Jan 2013 9:00 PM,248.351,187986.859
02 Jan 2013 9:15 PM,226.354,188043.453
02 Jan 2013 9:30 PM,217.205,188097.750
02 Jan 2013 9:45 PM,207.092,188149.531
02 Jan 2013 10:00 PM,208.545,188201.672
02 Jan 2013 10:15 PM,207.866,188253.625
02 Jan 2013 10:30 PM,192.181,188301.672
02 Jan 2013 10:45 PM,186.757,188348.359
02 Jan 2013 11:00 PM,179.217,188393.172
02 Jan 2013 11:15 PM,180.063,188438.188
02 Jan 2013 11:30 PM,171.450,188481.047
02 Jan 2013 11:45 PM,145.628,188517.453
03 Jan 2013 12:00 AM,150.067,188554.969
03 Jan 2013 12:15 AM,147.462,188591.844
03 Jan 2013 12:30 AM,153.131,188630.125
03 Jan 2013 12:45 AM,147.707,188667.047
03 Jan 2013 1:00 AM,160.951,188707.281
03 Jan 2013 1:15 AM,168.589,188749.438
03 Jan 2013 1:30 AM,148.673,188786.594
03 Jan 2013 1:45 AM,160.995,188826.984
03 Jan 2013 2:00 AM,143.216,188862.781
03 Jan 2013 2:15 AM,160.771,188902.984
03 Jan 2013 2:30 AM,141.905,188938.453
03 Jan 2013 2:45 AM,159.407,188978.313
03 Jan 2013 3:00 AM,149.430,189015.672
03 Jan 2013 3:15 AM,149.834,189053.125
03 Jan 2013 3:30 AM,154.093,189091.656
03 Jan 2013 3:45 AM,154.022,189130.156
03 Jan 2013 4:00 AM,151.398,189168.000
03 Jan 2013 4:15 AM,148.083,189205.031
03 Jan 2013 4:30 AM,156.663,189244.188
03 Jan 2013 4:45 AM,151.298,189282.016
03 Jan 2013 5:00 AM,152.390,189320.109
03 Jan 2013 5:15 AM,149.616,189357.516
03 Jan 2013 5:30 AM,162.666,189398.188
03 Jan 2013 5:45 AM,142.768,189433.875
03 Jan 2013 6:00 AM,162.015,189474.375
03 Jan 2013 6:15 AM,146.633,189511.031
03 Jan 2013 6:30 AM,164.203,189552.094
03 Jan 2013 6:45 AM,148.218,189589.141
03 Jan 2013 7:00 AM,163.649,189630.047
03 Jan 2013 7:15 AM,190.053,189677.563
03 Jan 2013 7:30 AM,197.856,189727.031
03 Jan 2013 7:45 AM,222.922,189782.766
03 Jan 2013 8:00 AM,212.119,189835.797
03 Jan 2013 8:15 AM,217.167,189890.078
03 Jan 2013 8:30 AM,266.104,189956.609
03 Jan 2013 8:45 AM,275.679,190025.531
03 Jan 2013 9:00 AM,279.848,190095.484
03 Jan 2013 9:15 AM,298.477,190170.109
03 Jan 2013 9:30 AM,300.795,190245.313
03 Jan 2013 9:45 AM,302.285,190320.875
03 Jan 2013 10:00 AM,304.953,190397.125
03 Jan 2013 10:15 AM,307.849,190474.078
03 Jan 2013 10:30 AM,317.109,190553.359
03 Jan 2013 10:45 AM,320.219,190633.406
03 Jan 2013 11:00 AM,312.405,190711.516
03 Jan 2013 11:15 AM,322.785,190792.219
03 Jan 2013 11:30 AM,305.334,190868.547
03 Jan 2013 11:45 AM,318.375,190948.406
03 Jan 2013 12:00 PM,295.236,191022.219
03 Jan 2013 12:15 PM,319.833,191102.172
03 Jan 2013 12:30 PM,301.896,191177.641
03 Jan 2013 12:45 PM,331.125,191260.422
03 Jan 2013 1:00 PM,302.285,191336.000
03 Jan 2013 1:15 PM,292.436,191409.109
03 Jan 2013 1:30 PM,289.534,191481.484
03 Jan 2013 1:45 PM,289.123,191553.766
03 Jan 2013 2:00 PM,294.888,191623.641
03 Jan 2013 2:15 PM,286.981,191695.391
03 Jan 2013 2:30 PM,281.626,191765.797
03 Jan 2013 2:45 PM,283.784,191836.734
03 Jan 2013 3:00 PM,287.042,191908.500
03 Jan 2013 3:15 PM,290.684,191981.172
03 Jan 2013 3:30 PM,293.600,192054.578
03 Jan 2013 3:45 PM,316.828,192133.781
03 Jan 2013 4:00 PM,284.842,192204.984
03 Jan 2013 4:15 PM,312.283,192283.063
03 Jan 2013 4:30 PM,286.830,192354.766
03 Jan 2013 4:45 PM,306.440,192431.375
03 Jan 2013 5:00 PM,279.070,192501.141
03 Jan 2013 5:15 PM,276.142,192570.188
03 Jan 2013 5:30 PM,265.943,192636.672
03 Jan 2013 5:45 PM,269.634,192704.078
03 Jan 2013 6:00 PM,266.192,192770.625
03 Jan 2013 6:15 PM,269.048,192837.891
03 Jan 2013 6:30 PM,260.680,192903.063
03 Jan 2013 6:45 PM,257.935,192967.547
03 Jan 2013 7:00 PM,255.718,193031.469
03 Jan 2013 7:15 PM,259.241,193096.281
03 Jan 2013 7:30 PM,262.910,193162.016
03 Jan 2013 7:45 PM,271.526,193229.891
03 Jan 2013 8:00 PM,275.532,193298.781
03 Jan 2013 8:15 PM,265.202,193365.078
03 Jan 2013 8:30 PM,270.417,193432.672
03 Jan 2013 8:45 PM,265.953,193499.156
03 Jan 2013 9:00 PM,279.372,193569.000
03 Jan 2013 9:15 PM,224.675,193625.172
03 Jan 2013 9:30 PM,224.998,193681.422
03 Jan 2013 9:45 PM,215.532,193735.313
03 Jan 2013 10:00 PM,215.007,193789.234
03 Jan 2013 10:15 PM,181.033,193834.500
03 Jan 2013 10:30 PM,177.245,193878.813
03 Jan 2013 10:45 PM,176.924,193923.031
03 Jan 2013 11:00 PM,175.942,193967.031
03 Jan 2013 11:15 PM,175.683,194010.938
03 Jan 2013 11:30 PM,162.378,194051.531
03 Jan 2013 11:45 PM,147.465,194088.406
04 Jan 2013 12:00 AM,145.365,194124.750
04 Jan 2013 12:15 AM,145.908,194161.219
04 Jan 2013 12:30 AM,141.638,194196.641
04 Jan 2013 12:45 AM,145.122,194232.906
04 Jan 2013 1:00 AM,156.996,194272.156
04 Jan 2013 1:15 AM,147.214,194308.969
04 Jan 2013 1:30 AM,139.865,194343.938
04 Jan 2013 1:45 AM,143.715,194379.859
04 Jan 2013 2:00 AM,144.908,194416.094
04 Jan 2013 2:15 AM,142.178,194451.625
04 Jan 2013 2:30 AM,138.811,194486.328
04 Jan 2013 2:45 AM,141.958,194521.828
04 Jan 2013 3:00 AM,139.370,194556.672
04 Jan 2013 3:15 AM,142.632,194592.328
04 Jan 2013 3:30 AM,149.818,194629.781
04 Jan 2013 3:45 AM,141.643,194665.188
04 Jan 2013 4:00 AM,141.107,194700.469
04 Jan 2013 4:15 AM,146.678,194737.141
04 Jan 2013 4:30 AM,144.839,194773.344
04 Jan 2013 4:45 AM,153.462,194811.719
04 Jan 2013 5:00 AM,144.079,194847.734
04 Jan 2013 5:15 AM,151.016,194885.484
04 Jan 2013 5:30 AM,150.873,194923.203
04 Jan 2013 5:45 AM,143.452,194959.063
04 Jan 2013 6:00 AM,144.719,194995.250
04 Jan 2013 6:15 AM,144.293,195031.313
04 Jan 2013 6:30 AM,148.840,195068.531
04 Jan 2013 6:45 AM,149.398,195105.875
04 Jan 2013 7:00 AM,155.432,195144.734
04 Jan 2013 7:15 AM,181.406,195190.094
04 Jan 2013 7:30 AM,189.333,195237.422
04 Jan 2013 7:45 AM,236.623,195296.578
04 Jan 2013 8:00 AM,200.011,195346.578
04 Jan 2013 8:15 AM,205.202,195397.875
04 Jan 2013 8:30 AM,217.233,195452.188
04 Jan 2013 8:45 AM,254.485,195515.813
04 Jan 2013 9:00 AM,259.898,195580.781
04 Jan 2013 9:15 AM,274.658,195649.453
04 Jan 2013 9:30 AM,269.978,195716.938
04 Jan 2013 9:45 AM,277.359,195786.281
04 Jan 2013 10:00 AM,279.735,195856.453
04 Jan 2013 10:15 AM,277.804,195925.906
04 Jan 2013 10:30 AM,277.851,195995.359
04 Jan 2013 10:45 AM,280.479,196065.484
04 Jan 2013 11:00 AM,278.030,196134.984
04 Jan 2013 11:15 AM,277.259,196204.297
04 Jan 2013 11:30 AM,271.635,196272.219
04 Jan 2013 11:45 AM,274.983,196340.953
04 Jan 2013 12:00 PM,296.502,196415.078
04 Jan 2013 12:15 PM,276.470,196484.203
04 Jan 2013 12:30 PM,304.463,196560.313
04 Jan 2013 12:45 PM,273.873,196628.781
04 Jan 2013 1:00 PM,302.489,196704.406
04 Jan 2013 1:15 PM,271.487,196772.281
04 Jan 2013 1:30 PM,295.719,196846.203
04 Jan 2013 1:45 PM,278.739,196915.891
04 Jan 2013 2:00 PM,288.954,196988.141
04 Jan 2013 2:15 PM,285.434,197059.500
04 Jan 2013 2:30 PM,276.582,197128.641
04 Jan 2013 2:45 PM,298.009,197203.141
04 Jan 2013 3:00 PM,271.082,197270.922
