Local Time,kW Demand,kWh_Net
01 Jan 2013 12:00 AM,136.5229797,7186330.5
01 Jan 2013 12:15 AM,135.7112885,7186364.5
01 Jan 2013 12:30 AM,134.9684601,7186398
01 Jan 2013 12:45 AM,136.0641022,7186432.5
01 Jan 2013 1:00 AM,136.7726746,7186466.5
01 Jan 2013 1:15 AM,135.1779633,7186500
01 Jan 2013 1:30 AM,132.4658508,7186533.5
01 Jan 2013 1:45 AM,132.4970398,7186566.5
01 Jan 2013 2:00 AM,132.5838013,7186599.5
01 Jan 2013 2:15 AM,133.1846619,7186633
01 Jan 2013 2:30 AM,133.2607422,7186666.5
01 Jan 2013 2:45 AM,133.6532135,7186700
01 Jan 2013 3:00 AM,133.2014008,7186733
01 Jan 2013 3:15 AM,134.8841248,7186767
01 Jan 2013 3:30 AM,132.3503113,7186800
01 Jan 2013 3:45 AM,134.6466217,7186833.5
01 Jan 2013 4:00 AM,133.3290253,7186867
01 Jan 2013 4:15 AM,132.3734436,7186900
01 Jan 2013 4:30 AM,134.4709167,7186933.5
01 Jan 2013 4:45 AM,133.2224579,7186967
01 Jan 2013 5:00 AM,132.9213257,7187000
01 Jan 2013 5:15 AM,135.0439301,7187034
01 Jan 2013 5:30 AM,130.3617859,7187066.5
01 Jan 2013 5:45 AM,134.0908966,7187100
01 Jan 2013 6:00 AM,133.9644623,7187133.5
01 Jan 2013 6:15 AM,135.1639404,7187167.5
01 Jan 2013 6:30 AM,135.5431824,7187201
01 Jan 2013 6:45 AM,135.8409882,7187235
01 Jan 2013 7:00 AM,134.010788,7187268.5
01 Jan 2013 7:15 AM,136.4851837,7187302.5
01 Jan 2013 7:30 AM,140.4998779,7187338
01 Jan 2013 7:45 AM,181.9478302,7187383.5
01 Jan 2013 8:00 AM,178.7701874,7187428
01 Jan 2013 8:15 AM,170.8339691,7187471
01 Jan 2013 8:30 AM,147.7835083,7187507.5
01 Jan 2013 8:45 AM,147.4050903,7187544.5
01 Jan 2013 9:00 AM,147.9463959,7187581.5
01 Jan 2013 9:15 AM,147.7146912,7187618.5
01 Jan 2013 9:30 AM,147.2948151,7187655.5
01 Jan 2013 9:45 AM,149.9739685,7187693
