Local Time,kW Demand,kWh_Net
01 Jan 2012 12:00 AM,82.14031219,220821.0625
01 Jan 2012 12:15 AM,83.1217804,220841.8438
01 Jan 2012 12:30 AM,70.57382965,220859.5313
01 Jan 2012 12:45 AM,88.19430542,220881.5938
01 Jan 2012 01:00 AM,94.18875122,220905.1406
01 Jan 2012 01:15 AM,72.97633362,220923.375
01 Jan 2012 01:30 AM,87.6794281,220945.2969
01 Jan 2012 01:45 AM,69.80319977,220962.75
01 Jan 2012 02:00 AM,81.19621277,220983.0469
01 Jan 2012 02:15 AM,84.50531769,221004.1719
01 Jan 2012 02:30 AM,74.49425507,221022.7969
01 Jan 2012 02:45 AM,87.46685028,221044.6719
01 Jan 2012 03:00 AM,76.40294647,221063.7656
01 Jan 2012 03:15 AM,73.602005,221082.1719
01 Jan 2012 03:30 AM,89.0433197,221104.4219
01 Jan 2012 03:45 AM,90.76589203,221127.125
01 Jan 2012 04:00 AM,68.76787567,221144.3125
01 Jan 2012 04:15 AM,91.44300079,221167.1719
01 Jan 2012 04:30 AM,87.4861908,221189.0469
01 Jan 2012 04:45 AM,65.45076752,221205.4063
01 Jan 2012 05:00 AM,86.50238037,221227.0313
01 Jan 2012 05:15 AM,83.70877838,221247.9531
01 Jan 2012 05:30 AM,70.33223724,221265.5469
01 Jan 2012 05:45 AM,98.4407196,221290.1563
01 Jan 2012 06:00 AM,89.98523712,221312.6406
01 Jan 2012 06:15 AM,75.01147461,221331.4063
01 Jan 2012 06:30 AM,73.37551117,221349.75
01 Jan 2012 06:45 AM,88.1175766,221371.7813
01 Jan 2012 07:00 AM,63.33370972,221387.6094
01 Jan 2012 07:15 AM,95.76782227,221411.5469
01 Jan 2012 07:30 AM,75.79193878,221430.5
01 Jan 2012 07:45 AM,81.90858459,221450.9688
01 Jan 2012 08:00 AM,76.38241577,221470.0625
01 Jan 2012 08:15 AM,80.89989471,221490.2969
01 Jan 2012 08:30 AM,89.81147766,221512.75
01 Jan 2012 08:45 AM,77.14274597,221532.0313
01 Jan 2012 09:00 AM,79.8927536,221552
01 Jan 2012 09:15 AM,84.90776825,221573.2344
01 Jan 2012 09:30 AM,64.94086456,221589.4688
01 Jan 2012 09:45 AM,81.74803925,221609.9063
01 Jan 2012 10:00 AM,74.04902649,221628.4219
01 Jan 2012 10:15 AM,74.7989502,221647.125
01 Jan 2012 10:30 AM,97.31167603,221671.4531
01 Jan 2012 10:45 AM,62.30056763,221687.0156
01 Jan 2012 11:00 AM,89.16431427,221709.3125
01 Jan 2012 11:15 AM,73.61174774,221727.7188
01 Jan 2012 11:30 AM,73.0091095,221745.9688
01 Jan 2012 11:45 AM,86.08650208,221767.4844
01 Jan 2012 12:00 PM,79.16949463,221787.2813
01 Jan 2012 12:15 PM,78.67668152,221806.9531
01 Jan 2012 12:30 PM,81.89445496,221827.4219
01 Jan 2012 12:45 PM,61.28607178,221842.75
01 Jan 2012 01:00 PM,87.20420837,221864.5469
01 Jan 2012 01:15 PM,57.37360382,221878.8906
01 Jan 2012 01:30 PM,88.77671814,221901.0781
01 Jan 2012 01:45 PM,64.15139008,221917.125
01 Jan 2012 02:00 PM,76.52954865,221936.25
01 Jan 2012 02:15 PM,76.09589386,221955.2813
01 Jan 2012 02:30 PM,64.29077911,221971.3438
01 Jan 2012 02:45 PM,77.52046967,221990.7344
01 Jan 2012 03:00 PM,76.39707184,222009.8281
01 Jan 2012 03:15 PM,73.41777039,222028.1875
01 Jan 2012 03:30 PM,70.23777008,222045.75
01 Jan 2012 03:45 PM,68.47058868,222062.8594
01 Jan 2012 04:00 PM,72.85908508,222081.0781
01 Jan 2012 04:15 PM,79.36990356,222100.9219
01 Jan 2012 04:30 PM,67.68753815,222117.8906
01 Jan 2012 04:45 PM,85.17611694,222139.1875
01 Jan 2012 05:00 PM,72.56929016,222157.3281
01 Jan 2012 05:15 PM,70.18572235,222174.875
01 Jan 2012 05:30 PM,72.16934967,222192.9219
01 Jan 2012 05:45 PM,74.51896667,222211.5469
01 Jan 2012 06:00 PM,70.20063019,222229.1094
01 Jan 2012 06:15 PM,90.77398682,222251.7969
01 Jan 2012 06:30 PM,75.00537872,222270.5469
01 Jan 2012 06:45 PM,76.85916901,222289.7656
01 Jan 2012 07:00 PM,65.37831879,222306.1094
01 Jan 2012 07:15 PM,84.58985901,222327.25
01 Jan 2012 07:30 PM,64.94883728,222343.4844
01 Jan 2012 07:45 PM,88.42247772,222365.5938
01 Jan 2012 08:00 PM,73.88644409,222384.0625
01 Jan 2012 08:15 PM,81.01921844,222404.3281
01 Jan 2012 08:30 PM,63.40177155,222420.1719
01 Jan 2012 08:45 PM,83.33840179,222441.0156
01 Jan 2012 09:00 PM,61.87956238,222456.4844
01 Jan 2012 09:15 PM,91.56256104,222479.375
01 Jan 2012 09:30 PM,77.00520325,222498.625
01 Jan 2012 09:45 PM,83.68026733,222519.5469
01 Jan 2012 10:00 PM,64.07040405,222535.5625
01 Jan 2012 10:15 PM,83.60778046,222556.4531
01 Jan 2012 10:30 PM,72.63189697,222574.625
01 Jan 2012 10:45 PM,77.87464905,222594.0938
01 Jan 2012 11:00 PM,74.30979919,222612.6719
01 Jan 2012 11:15 PM,76.450737,222631.7813
01 Jan 2012 11:30 PM,72.49072266,222649.9063
01 Jan 2012 11:45 PM,76.46450806,222669.0156
02 Jan 2012 12:00 AM,79.26119995,222688.8281
