Local Time,kW Demand,kWh_Net
01/01/2014 12:00 AM,0,443533.994
01/01/2014 12:15 AM,7.116,443535.773
01/01/2014 12:30 AM,7.466,443537.6395
01/01/2014 12:45 AM,7.596,443539.5385
01/01/2014 1:00 AM,7.324,443541.3695
01/01/2014 1:15 AM,7.272,443543.1875
01/01/2014 1:30 AM,7.61,443545.09
01/01/2014 1:45 AM,7.524,443546.971
01/01/2014 2:00 AM,7.484,443548.842
01/01/2014 2:15 AM,7.374,443550.6855
01/01/2014 2:30 AM,7.352,443552.5235
01/01/2014 2:45 AM,7.462,443554.389
01/01/2014 3:00 AM,7.314,443556.2175
01/01/2014 3:15 AM,7.624,443558.1235
01/01/2014 3:30 AM,7.432,443559.9815
01/01/2014 3:45 AM,7.61,443561.884
01/01/2014 4:00 AM,7.444,443563.745
01/01/2014 4:15 AM,7.274,443565.5635
01/01/2014 4:30 AM,7.432,443567.4215
01/01/2014 4:45 AM,7.612,443569.3245
01/01/2014 5:00 AM,7.702,443571.25
01/01/2014 5:15 AM,7.264,443573.066
01/01/2014 5:30 AM,7.65,443574.9785
01/01/2014 5:45 AM,7.088,443576.7505
01/01/2014 6:00 AM,7.68,443578.6705
01/01/2014 6:15 AM,7.396,443580.5195
01/01/2014 6:30 AM,7.152,443582.3075
01/01/2014 6:45 AM,7.42,443584.1625
01/01/2014 7:00 AM,7.874,443586.131
01/01/2014 7:15 AM,7.1,443587.906
01/01/2014 7:30 AM,7.424,443589.762
01/01/2014 7:45 AM,7.58,443591.657
01/01/2014 8:00 AM,7.588,443593.554
01/01/2014 8:15 AM,7.362,443595.3945
01/01/2014 8:30 AM,7.706,443597.321
01/01/2014 8:45 AM,7.066,443599.0875
01/01/2014 9:00 AM,7.788,443601.0345
01/01/2014 9:15 AM,7.342,443602.87
01/01/2014 9:30 AM,7.074,443604.6385
01/01/2014 9:45 AM,7.578,443606.533
01/01/2014 10:00 AM,7.522,443608.4135
01/01/2014 10:15 AM,7.414,443610.267
01/01/2014 10:30 AM,7.326,443612.0985
01/01/2014 10:45 AM,7.474,443613.967
01/01/2014 11:00 AM,7.894,443615.9405
01/01/2014 11:15 AM,7.348,443617.7775
01/01/2014 11:30 AM,7.392,443619.6255
01/01/2014 11:45 AM,7.774,443621.569
01/01/2014 12:00 PM,7.584,443623.465
01/01/2014 12:15 PM,7.162,443625.2555
01/01/2014 12:30 PM,7.74,443627.1905
01/01/2014 12:45 PM,7.476,443629.0595
01/01/2014 1:00 PM,7.324,443630.8905
01/01/2014 1:15 PM,7.432,443632.7485
01/01/2014 1:30 PM,7.482,443634.619
01/01/2014 1:45 PM,7.686,443636.5405
01/01/2014 2:00 PM,7.488,443638.4125
01/01/2014 2:15 PM,7.166,443640.204
01/01/2014 2:30 PM,7.992,443642.202
01/01/2014 2:45 PM,7.474,443644.0705
01/01/2014 3:00 PM,7.544,443645.9565
01/01/2014 3:15 PM,7.816,443647.9105
01/01/2014 3:30 PM,7.522,443649.791
01/01/2014 3:45 PM,7.352,443651.629
01/01/2014 4:00 PM,7.184,443653.425
01/01/2014 4:15 PM,7.824,443655.381
01/01/2014 4:30 PM,7.748,443657.318
01/01/2014 4:45 PM,7.566,443659.2095
01/01/2014 5:00 PM,7.288,443661.0315
01/01/2014 5:15 PM,7.666,443662.948
01/01/2014 5:30 PM,7.614,443664.8515
01/01/2014 5:45 PM,7.49,443666.724
01/01/2014 6:00 PM,7.4,443668.574
01/01/2014 6:15 PM,7.532,443670.457
01/01/2014 6:30 PM,7.388,443672.304
01/01/2014 6:45 PM,7.882,443674.2745
01/01/2014 7:00 PM,7.122,443676.055
01/01/2014 7:15 PM,7.498,443677.9295
01/01/2014 7:30 PM,7.304,443679.7555
01/01/2014 7:45 PM,7.476,443681.6245
01/01/2014 8:00 PM,7.812,443683.5775
01/01/2014 8:15 PM,7.202,443685.378
01/01/2014 8:30 PM,7.496,443687.252
01/01/2014 8:45 PM,7.24,443689.062
01/01/2014 9:00 PM,7.534,443690.9455
01/01/2014 9:15 PM,7.676,443692.8645
01/01/2014 9:30 PM,7.638,443694.774
01/01/2014 9:45 PM,7.234,443696.5825
01/01/2014 10:00 PM,7.752,443698.5205
01/01/2014 10:15 PM,7.474,443700.389
01/01/2014 10:30 PM,7.636,443702.298
01/01/2014 10:45 PM,7.31,443704.1255
01/01/2014 11:00 PM,7.44,443705.9855
01/01/2014 11:15 PM,7.6,443707.8855
01/01/2014 11:30 PM,7.492,443709.7585
01/01/2014 11:45 PM,7.34,443711.5935
01/02/2014 12:00 AM,7.372,443713.4365
01/02/2014 12:15 AM,7.296,443715.2605
01/02/2014 12:30 AM,7.896,443717.2345
01/02/2014 12:45 AM,7.496,443719.1085
01/02/2014 1:00 AM,7.718,443721.038
01/02/2014 1:15 AM,7.274,443722.8565
01/02/2014 1:30 AM,7.774,443724.8
01/02/2014 1:45 AM,7.352,443726.638
01/02/2014 2:00 AM,7.378,443728.4825
01/02/2014 2:15 AM,7.624,443730.3885
01/02/2014 2:30 AM,7.694,443732.312
01/02/2014 2:45 AM,7.644,443734.223
01/02/2014 3:00 AM,7.444,443736.084
01/02/2014 3:15 AM,7.502,443737.9595
01/02/2014 3:30 AM,7.756,443739.8985
01/02/2014 3:45 AM,7.182,443741.694
01/02/2014 4:00 AM,7.874,443743.6625
01/02/2014 4:15 AM,7.696,443745.5865
01/02/2014 4:30 AM,7.42,443747.4415
01/02/2014 4:45 AM,7.488,443749.3135
01/02/2014 5:00 AM,7.524,443751.1945
01/02/2014 5:15 AM,7.38,443753.0395
01/02/2014 5:30 AM,7.462,443754.905
01/02/2014 5:45 AM,7.238,443756.7145
01/02/2014 6:00 AM,7.638,443758.624
01/02/2014 6:15 AM,7.178,443760.4185
01/02/2014 6:30 AM,7.398,443762.268
01/02/2014 6:45 AM,7.558,443764.1575
01/02/2014 7:00 AM,7.438,443766.017
01/02/2014 7:15 AM,7.486,443767.8885
01/02/2014 7:30 AM,7.26,443769.7035
01/02/2014 7:45 AM,7.746,443771.64
01/02/2014 8:00 AM,7.696,443773.564
01/02/2014 8:15 AM,7.242,443775.3745
01/02/2014 8:30 AM,6.966,443777.116
01/02/2014 8:45 AM,7.762,443779.0565
01/02/2014 9:00 AM,7.37,443780.899
01/02/2014 9:15 AM,7.208,443782.701
01/02/2014 9:30 AM,7.948,443784.688
01/02/2014 9:45 AM,7.426,443786.5445
01/02/2014 10:00 AM,7.014,443788.298
01/02/2014 10:15 AM,7.104,443790.074
01/02/2014 10:30 AM,7.822,443792.0295
01/02/2014 10:45 AM,7.708,443793.9565
01/02/2014 11:00 AM,7.512,443795.8345
01/02/2014 11:15 AM,7.354,443797.673
01/02/2014 11:30 AM,7.444,443799.534
01/02/2014 11:45 AM,7.252,443801.347
01/02/2014 12:00 PM,7.568,443803.239
01/02/2014 12:15 PM,7.278,443805.0585
01/02/2014 12:30 PM,7.434,443806.917
01/02/2014 12:45 PM,7.58,443808.812
01/02/2014 1:00 PM,7.416,443810.666
01/02/2014 1:15 PM,7.406,443812.5175
01/02/2014 1:30 PM,7.262,443814.333
01/02/2014 1:45 PM,7.25,443816.1455
01/02/2014 2:00 PM,7.672,443818.0635
01/02/2014 2:15 PM,7.838,443820.023
01/02/2014 2:30 PM,7.482,443821.8935
01/02/2014 2:45 PM,7.348,443823.7305
01/02/2014 3:00 PM,7.404,443825.5815
01/02/2014 3:15 PM,7.674,443827.5
01/02/2014 3:30 PM,7.114,443829.2785
01/02/2014 3:45 PM,7.598,443831.178
01/02/2014 4:00 PM,7.654,443833.0915
01/02/2014 4:15 PM,7.21,443834.894
01/02/2014 4:30 PM,7.264,443836.71
01/02/2014 4:45 PM,7.768,443838.652
01/02/2014 5:00 PM,7.276,443840.471
01/02/2014 5:15 PM,7.256,443842.285
01/02/2014 5:30 PM,7.786,443844.2315
01/02/2014 5:45 PM,7.62,443846.1365
01/02/2014 6:00 PM,7.54,443848.0215
01/02/2014 6:15 PM,7.708,443849.9485
01/02/2014 6:30 PM,7.512,443851.8265
01/02/2014 6:45 PM,7.404,443853.6775
01/02/2014 7:00 PM,7.236,443855.4865
01/02/2014 7:15 PM,7.684,443857.4075
01/02/2014 7:30 PM,7.298,443859.232
01/02/2014 7:45 PM,7.828,443861.189
01/02/2014 8:00 PM,7.318,443863.0185
01/02/2014 8:15 PM,7.362,443864.859
