Local Time,kW Demand,kWh_Net
2012-Jan-01 00:00:00.000,83.5864,3246062.5000
2012-Jan-01 00:15:00.000,83.8047,3246083.5000
2012-Jan-01 00:30:00.000,84.8543,3246104.7500
2012-Jan-01 00:45:00.000,85.5145,3246126.0000
2012-Jan-01 01:00:00.000,86.2383,3246147.5000
2012-Jan-01 01:15:00.000,84.1926,3246168.7500
2012-Jan-01 01:30:00.000,84.3891,3246189.7500
2012-Jan-01 01:45:00.000,86.6896,3246211.5000
2012-Jan-01 02:00:00.000,86.1884,3246233.0000
2012-Jan-01 02:15:00.000,83.8596,3246254.0000
2012-Jan-01 02:30:00.000,84.1825,3246275.0000
2012-Jan-01 02:45:00.000,82.7359,3246295.7500
2012-Jan-01 03:00:00.000,84.7631,3246316.7500
2012-Jan-01 03:15:00.000,81.7657,3246337.2500
2012-Jan-01 03:30:00.000,83.4820,3246358.2500
2012-Jan-01 03:45:00.000,83.1572,3246379.0000
2012-Jan-01 04:00:00.000,82.6715,3246399.7500
2012-Jan-01 04:15:00.000,83.7466,3246420.5000
2012-Jan-01 04:30:00.000,82.1892,3246441.0000
2012-Jan-01 04:45:00.000,83.0708,3246462.0000
2012-Jan-01 05:00:00.000,81.5814,3246482.2500
2012-Jan-01 05:15:00.000,82.9761,3246503.0000
2012-Jan-01 05:30:00.000,84.3438,3246524.0000
2012-Jan-01 05:45:00.000,82.6648,3246544.7500
2012-Jan-01 06:00:00.000,84.4445,3246566.0000
2012-Jan-01 06:15:00.000,82.8538,3246586.5000
2012-Jan-01 06:30:00.000,83.6296,3246607.5000
2012-Jan-01 06:45:00.000,83.9154,3246628.5000
2012-Jan-01 07:00:00.000,83.7409,3246649.5000
2012-Jan-01 07:15:00.000,83.3039,3246670.2500
2012-Jan-01 07:30:00.000,83.6530,3246691.2500
2012-Jan-01 07:45:00.000,82.6656,3246711.7500
2012-Jan-01 08:00:00.000,83.6077,3246732.7500
2012-Jan-01 08:15:00.000,81.3934,3246753.0000
2012-Jan-01 08:30:00.000,81.0511,3246773.2500
2012-Jan-01 08:45:00.000,80.1158,3246793.2500
2012-Jan-01 09:00:00.000,79.2464,3246813.2500
2012-Jan-01 09:15:00.000,82.9746,3246834.0000
2012-Jan-01 09:30:00.000,81.6267,3246854.2500
2012-Jan-01 09:45:00.000,82.8148,3246875.0000
2012-Jan-01 10:00:00.000,80.9780,3246895.2500
2012-Jan-01 10:15:00.000,94.0167,3246918.7500
2012-Jan-01 10:30:00.000,120.6091,3246949.0000
2012-Jan-01 10:45:00.000,121.1237,3246979.2500
2012-Jan-01 11:00:00.000,120.3540,3247009.2500
2012-Jan-01 11:15:00.000,117.0559,3247038.7500
2012-Jan-01 11:30:00.000,116.4049,3247067.7500
