Local Time,kW Demand,kWh_Net
2012-Jan-01 00:00:00.000,105.3197556,4969016.5
2012-Jan-01 00:15:00.000,105.3001633,4969042.5
2012-Jan-01 00:30:00.000,105.7768173,4969069
2012-Jan-01 00:45:00.000,105.6137238,4969095.5
2012-Jan-01 01:00:00.000,107.3243942,4969122.5
2012-Jan-01 01:15:00.000,106.0004654,4969149
2012-Jan-01 01:30:00.000,107.021286,4969175.5
2012-Jan-01 01:45:00.000,107.5531769,4969202.5
2012-Jan-01 02:00:00.000,104.8477554,4969228.5
2012-Jan-01 02:15:00.000,105.3813858,4969255
2012-Jan-01 02:30:00.000,105.341629,4969281.5
2012-Jan-01 02:45:00.000,109.5469971,4969309
2012-Jan-01 03:00:00.000,105.3416214,4969335
2012-Jan-01 03:15:00.000,104.6018143,4969361.5
2012-Jan-01 03:30:00.000,104.8699417,4969387.5
2012-Jan-01 03:45:00.000,106.1425171,4969414
2012-Jan-01 04:00:00.000,107.8503876,4969441
2012-Jan-01 04:15:00.000,104.0805206,4969467
2012-Jan-01 04:30:00.000,108.156311,4969494
2012-Jan-01 04:45:00.000,105.8226166,4969520.5
2012-Jan-01 05:00:00.000,107.657074,4969547.5
2012-Jan-01 05:15:00.000,106.9858093,4969574.5
2012-Jan-01 05:30:00.000,105.7676544,4969600.5
2012-Jan-01 05:45:00.000,105.7404785,4969627
2012-Jan-01 06:00:00.000,104.6239777,4969653.5
2012-Jan-01 06:15:00.000,107.817009,4969680
2012-Jan-01 06:30:00.000,105.8233643,4969706.5
2012-Jan-01 06:45:00.000,105.5945435,4969733
2012-Jan-01 07:00:00.000,106.782135,4969760
2012-Jan-01 07:15:00.000,108.380394,4969787
2012-Jan-01 07:30:00.000,106.7542114,4969813.5
2012-Jan-01 07:45:00.000,112.1743164,4969841.5
2012-Jan-01 08:00:00.000,112.5832214,4969870
2012-Jan-01 08:15:00.000,145.0383759,4969906
2012-Jan-01 08:30:00.000,146.1257782,4969942.5
2012-Jan-01 08:45:00.000,147.7706146,4969979.5
2012-Jan-01 09:00:00.000,144.0295868,4970015.5
2012-Jan-01 09:15:00.000,145.8820496,4970052
2012-Jan-01 09:30:00.000,142.7506104,4970087.5
2012-Jan-01 09:45:00.000,143.0654602,4970123.5
2012-Jan-01 10:00:00.000,143.7675018,4970159.5
2012-Jan-01 10:15:00.000,141.7154083,4970195
2012-Jan-01 10:30:00.000,142.3427734,4970230.5
2012-Jan-01 10:45:00.000,141.6895294,4970266
2012-Jan-01 11:00:00.000,144.074585,4970302
2012-Jan-01 11:15:00.000,142.0041046,4970337.5
2012-Jan-01 11:30:00.000,140.9636841,4970372.5
2012-Jan-01 11:45:00.000,141.6812439,4970408
2012-Jan-01 12:00:00.000,143.2374268,4970444
2012-Jan-01 12:15:00.000,140.759613,4970479
2012-Jan-01 12:30:00.000,142.4623718,4970514.5
2012-Jan-01 12:45:00.000,143.232666,4970550.5
2012-Jan-01 13:00:00.000,141.6216736,4970586
2012-Jan-01 13:15:00.000,144.2642059,4970622
2012-Jan-01 13:30:00.000,143.3042603,4970657.5
2012-Jan-01 13:45:00.000,144.3015289,4970694
2012-Jan-01 14:00:00.000,141.7128601,4970729
2012-Jan-01 14:15:00.000,143.0376587,4970765
2012-Jan-01 14:30:00.000,144.6860199,4970801.5
2012-Jan-01 14:45:00.000,140.8195801,4970836.5
2012-Jan-01 15:00:00.000,141.5939026,4970872
2012-Jan-01 15:15:00.000,140.5122833,4970907
2012-Jan-01 15:30:00.000,140.4164276,4970942
2012-Jan-01 15:45:00.000,138.604599,4970977
2012-Jan-01 16:00:00.000,138.8079376,4971011.5
2012-Jan-01 16:15:00.000,135.9250641,4971045.5
2012-Jan-01 16:30:00.000,136.0032349,4971079.5
2012-Jan-01 16:45:00.000,143.5228119,4971115.5
2012-Jan-01 17:00:00.000,145.6753845,4971151.5
2012-Jan-01 17:15:00.000,146.24646,4971188.5
2012-Jan-01 17:30:00.000,144.0079498,4971224.5
