Local Time,kW Demand,kWh_Net
2012-Jan-01 00:00:00.000,2307.390,16046702.875
2012-Jan-01 00:15:00.000,2327.925,16047285.000
2012-Jan-01 00:30:00.000,2303.822,16047860.375
2012-Jan-01 00:45:00.000,2310.792,16048438.125
2012-Jan-01 01:00:00.000,2302.718,16049014.000
2012-Jan-01 01:15:00.000,2327.705,16049596.250
2012-Jan-01 01:30:00.000,2296.562,16050170.250
2012-Jan-01 01:45:00.000,2297.177,16050744.375
2012-Jan-01 02:00:00.000,2306.023,16051320.875
2012-Jan-01 02:15:00.000,2301.619,16051896.750
2012-Jan-01 02:30:00.000,2316.399,16052475.875
2012-Jan-01 02:45:00.000,2310.547,16053053.500
2012-Jan-01 03:00:00.000,2297.730,16053627.750
2012-Jan-01 03:15:00.000,2294.674,16054201.250
2012-Jan-01 03:30:00.000,2300.265,16054776.500
2012-Jan-01 03:45:00.000,2290.246,16055348.750
2012-Jan-01 04:00:00.000,2303.877,16055924.375
2012-Jan-01 04:15:00.000,2303.267,16056500.875
2012-Jan-01 04:30:00.000,2308.726,16057077.750
2012-Jan-01 04:45:00.000,2306.201,16057654.125
2012-Jan-01 05:00:00.000,2296.181,16058228.625
2012-Jan-01 05:15:00.000,2299.806,16058803.250
2012-Jan-01 05:30:00.000,2320.088,16059383.250
2012-Jan-01 05:45:00.000,2315.452,16059962.375
2012-Jan-01 06:00:00.000,2328.800,16060544.375
2012-Jan-01 06:15:00.000,2324.659,16061125.375
2012-Jan-01 06:30:00.000,2339.903,16061710.500
2012-Jan-01 06:45:00.000,2345.487,16062297.375
2012-Jan-01 07:00:00.000,2350.848,16062885.000
2012-Jan-01 07:15:00.000,2397.023,16063484.250
2012-Jan-01 07:30:00.000,2425.464,16064090.750
2012-Jan-01 07:45:00.000,2454.176,16064704.500
2012-Jan-01 08:00:00.000,2455.407,16065318.000
2012-Jan-01 08:15:00.000,2448.154,16065929.875
2012-Jan-01 08:30:00.000,2450.538,16066542.750
2012-Jan-01 08:45:00.000,2446.970,16067154.500
2012-Jan-01 09:00:00.000,2481.664,16067774.875
2012-Jan-01 09:15:00.000,2491.759,16068397.875
2012-Jan-01 09:30:00.000,2548.385,16069034.750
2012-Jan-01 09:45:00.000,2555.284,16069673.625
2012-Jan-01 10:00:00.000,2494.664,16070297.625
2012-Jan-01 10:15:00.000,2539.409,16070932.250
2012-Jan-01 10:30:00.000,2529.049,16071564.250
2012-Jan-01 10:45:00.000,2527.037,16072196.375
2012-Jan-01 11:00:00.000,2522.836,16072826.875
2012-Jan-01 11:15:00.000,2537.314,16073463.125
2012-Jan-01 11:30:00.000,2508.318,16074090.125
2012-Jan-01 11:45:00.000,2517.952,16074719.375
2012-Jan-01 12:00:00.000,2512.068,16075348.000
2012-Jan-01 12:15:00.000,2558.481,16075987.625
2012-Jan-01 12:30:00.000,2570.126,16076629.750
2012-Jan-01 12:45:00.000,2532.027,16077262.500
2012-Jan-01 13:00:00.000,2581.131,16077907.750
2012-Jan-01 13:15:00.000,2528.906,16078540.625
2012-Jan-01 13:30:00.000,2551.109,16079177.875
2012-Jan-01 13:45:00.000,2566.988,16079820.000
2012-Jan-01 14:00:00.000,2561.849,16080460.000
2012-Jan-01 14:15:00.000,2554.266,16081098.500
2012-Jan-01 14:30:00.000,2538.537,16081733.625
2012-Jan-01 14:45:00.000,2575.614,16082377.125
2012-Jan-01 15:00:00.000,2583.198,16083023.125
2012-Jan-01 15:15:00.000,2540.353,16083658.250
2012-Jan-01 15:30:00.000,2553.093,16084296.375
2012-Jan-01 15:45:00.000,2578.173,16084941.125
2012-Jan-01 16:00:00.000,2576.097,16085585.000
2012-Jan-01 16:15:00.000,2577.403,16086229.625
2012-Jan-01 16:30:00.000,2555.613,16086868.125
2012-Jan-01 16:45:00.000,2592.610,16087516.625
2012-Jan-01 17:00:00.000,2560.057,16088156.875
2012-Jan-01 17:15:00.000,2554.414,16088794.750
2012-Jan-01 17:30:00.000,2558.742,16089435.125
2012-Jan-01 17:45:00.000,2487.493,16090056.625
2012-Jan-01 18:00:00.000,2485.132,16090677.625
2012-Jan-01 18:15:00.000,2479.979,16091297.875
2012-Jan-01 18:30:00.000,2475.050,16091917.125
2012-Jan-01 18:45:00.000,2467.910,16092533.750
2012-Jan-01 19:00:00.000,2450.693,16093146.250
2012-Jan-01 19:15:00.000,2451.155,16093759.750
2012-Jan-01 19:30:00.000,2422.203,16094365.000
2012-Jan-01 19:45:00.000,2430.092,16094972.375
2012-Jan-01 20:00:00.000,2418.195,16095577.500
2012-Jan-01 20:15:00.000,2409.579,16096179.125
2012-Jan-01 20:30:00.000,2424.227,16096785.375
2012-Jan-01 20:45:00.000,2401.852,16097386.250
2012-Jan-01 21:00:00.000,2396.029,16097985.000
2012-Jan-01 21:15:00.000,2377.631,16098579.375
2012-Jan-01 21:30:00.000,2377.273,16099173.750
