Local Time,kW Demand,kWh_Net
2011-01-01 0:00,74.55,632436.00
2011-01-01 0:15,74.74,632454.69
2011-01-01 0:30,74.27,632473.25
2011-01-01 0:45,74.79,632491.94
2011-01-01 1:00,75.37,632510.75
2011-01-01 1:15,74.59,632529.44
2011-01-01 1:30,74.58,632548.06
2011-01-01 1:45,72.34,632566.13
2011-01-01 2:00,71.55,632584.06
2011-01-01 2:15,60.81,632599.25
2011-01-01 2:30,60.37,632614.31
2011-01-01 2:45,60.05,632629.38
2011-01-01 3:00,60.44,632644.44
2011-01-01 3:15,61.28,632659.75
2011-01-01 3:30,61.28,632675.06
2011-01-01 3:45,59.91,632690.06
2011-01-01 4:00,61.02,632705.31
2011-01-01 4:15,60.77,632720.50
2011-01-01 4:30,60.31,632735.63
2011-01-01 4:45,61.4,632750.94
2011-01-01 5:00,61.82,632766.38
2011-01-01 5:15,60.12,632781.44
2011-01-01 5:30,59.55,632796.31
2011-01-01 5:45,60.1,632811.31
2011-01-01 6:00,60.55,632826.50
2011-01-01 6:15,60.57,632841.63
2011-01-01 6:30,61.25,632856.94
2011-01-01 6:45,60.21,632872.00
2011-01-01 7:00,60.04,632887.00
2011-01-01 7:15,60.16,632902.06
2011-01-01 7:30,60.44,632917.13
2011-01-01 7:45,60.26,632932.19
2011-01-01 8:00,60.9,632947.44
2011-01-01 8:15,70.45,632965.06
2011-01-01 8:30,69.99,632982.56
2011-01-01 8:45,68.74,632999.75
2011-01-01 9:00,69.94,633017.19
2011-01-01 9:15,68.89,633034.44
2011-01-01 9:30,69.41,633051.81
2011-01-01 9:45,69.62,633069.19
2011-01-01 10:00,68.17,633086.25
2011-01-01 10:15,68.42,633103.31
2011-01-01 10:30,70.24,633120.88
2011-01-01 10:45,70.27,633138.56
2011-01-01 11:00,68.86,633155.81
2011-01-01 11:15,69.21,633173.13
2011-01-01 11:30,69.74,633190.56
2011-01-01 11:45,69.47,633207.88
2011-01-01 12:00,70.57,633225.56
2011-01-01 12:15,69.71,633243.00
2011-01-01 12:30,69.11,633260.25
2011-01-01 12:45,70.89,633278.00
2011-01-01 13:00,69.89,633295.44
2011-01-01 13:15,70.02,633312.94
2011-01-01 13:30,70.74,633330.63
2011-01-01 13:45,70.93,633348.38
2011-01-01 14:00,71.08,633366.13
2011-01-01 14:15,70.88,633383.88
2011-01-01 14:30,70.11,633401.38
2011-01-01 14:45,70.25,633418.94
2011-01-01 15:00,70.69,633436.63
2011-01-01 15:15,71.01,633454.38
2011-01-01 15:30,69.93,633471.88
2011-01-01 15:45,69.57,633489.25
2011-01-01 16:00,70.24,633506.81
2011-01-01 16:15,70.76,633524.50
2011-01-01 16:30,69.27,633541.81
2011-01-01 16:45,73.1,633560.13
2011-01-01 17:00,72.44,633578.19
2011-01-01 17:15,72.8,633596.44
2011-01-01 17:30,73.22,633614.69
2011-01-01 17:45,72.75,633632.88
2011-01-01 18:00,71.54,633650.81
2011-01-01 18:15,72.71,633668.94
2011-01-01 18:30,72.92,633687.19
2011-01-01 18:45,74.21,633705.75
2011-01-01 19:00,74.16,633724.31
2011-01-01 19:15,73.42,633742.63
2011-01-01 19:30,73.38,633761.00
2011-01-01 19:45,73.57,633779.38
2011-01-01 20:00,74.84,633798.06
2011-01-01 20:15,76.21,633817.13
2011-01-01 20:30,76.62,633836.31
2011-01-01 20:45,75.59,633855.19
2011-01-01 21:00,74.29,633873.75
2011-01-01 21:15,74.37,633892.38
2011-01-01 21:30,74.39,633910.94
2011-01-01 21:45,73.64,633929.38
2011-01-01 22:00,73.9,633947.81
2011-01-01 22:15,75.83,633966.81
2011-01-01 22:30,74.66,633985.44
2011-01-01 22:45,74.2,634004.00
2011-01-01 23:00,74.69,634022.69
2011-01-01 23:15,74.16,634041.25
2011-01-01 23:30,75.09,634060.00
2011-01-01 23:45,74.73,634078.69
2011-01-02 0:00,73.98,634097.19
2011-01-02 0:15,74.49,634115.81
2011-01-02 0:30,74.54,634134.44
2011-01-02 0:45,73.46,634152.81
2011-01-02 1:00,73.92,634171.25
2011-01-02 1:15,73.53,634189.63
2011-01-02 1:30,72.99,634207.88
2011-01-02 1:45,73,634226.13
2011-01-02 2:00,72.11,634244.19
2011-01-02 2:15,61.06,634259.44
2011-01-02 2:30,62.38,634275.06
2011-01-02 2:45,61.91,634290.50
2011-01-02 3:00,61.79,634305.94
2011-01-02 3:15,61.58,634321.38
2011-01-02 3:30,62.04,634336.88
2011-01-02 3:45,60.73,634352.06
2011-01-02 4:00,61.42,634367.38
2011-01-02 4:15,62.5,634383.00
2011-01-02 4:30,62.22,634398.56
2011-01-02 4:45,61.37,634413.94
2011-01-02 5:00,61.25,634429.25
2011-01-02 5:15,61.09,634444.50
2011-01-02 5:30,60.99,634459.75
2011-01-02 5:45,62.21,634475.31
2011-01-02 6:00,60.67,634490.50
2011-01-02 6:15,59.83,634505.44
2011-01-02 6:30,60.45,634520.56
2011-01-02 6:45,61.8,634536.00
2011-01-02 7:00,61.13,634551.25
2011-01-02 7:15,61.31,634566.63
2011-01-02 7:30,60.55,634581.75
2011-01-02 7:45,60.26,634596.81
2011-01-02 8:00,61.38,634612.13
2011-01-02 8:15,72.2,634630.19
2011-01-02 8:30,70.75,634647.88
2011-01-02 8:45,69.16,634665.19
2011-01-02 9:00,69.4,634682.56
2011-01-02 9:15,69.87,634700.00
2011-01-02 9:30,70.45,634717.63
2011-01-02 9:45,68.51,634734.75
2011-01-02 10:00,70.2,634752.31
2011-01-02 10:15,69.93,634769.75
2011-01-02 10:30,70.85,634787.50
2011-01-02 10:45,70.58,634805.13
2011-01-02 11:00,69.7,634822.56
2011-01-02 11:15,71.54,634840.44
2011-01-02 11:30,71.54,634858.31
2011-01-02 11:45,73.58,634876.75
2011-01-02 12:00,74.75,634895.44
2011-01-02 12:15,73.26,634913.75
2011-01-02 12:30,73.11,634932.00
2011-01-02 12:45,71.95,634950.00
2011-01-02 13:00,72.28,634968.06
2011-01-02 13:15,72.67,634986.25
2011-01-02 13:30,70.97,635003.94
2011-01-02 13:45,71.59,635021.88
2011-01-02 14:00,72.5,635040.00
2011-01-02 14:15,72.58,635058.13
2011-01-02 14:30,70.78,635075.81
2011-01-02 14:45,73.42,635094.19
2011-01-02 15:00,74.06,635112.69
2011-01-02 15:15,74.65,635131.38
2011-01-02 15:30,74.09,635149.88
2011-01-02 15:45,73.41,635168.25
2011-01-02 16:00,74.56,635186.88
2011-01-02 16:15,73.78,635205.31
2011-01-02 16:30,74.06,635223.81
2011-01-02 16:45,76.37,635242.94
2011-01-02 17:00,75.33,635261.75
2011-01-02 17:15,74.22,635280.31
2011-01-02 17:30,75.95,635299.31
2011-01-02 17:45,76.43,635318.56
2011-01-02 18:00,75.55,635337.44
2011-01-02 18:15,75.61,635356.31
2011-01-02 18:30,75.34,635375.13
2011-01-02 18:45,75.05,635393.94
2011-01-02 19:00,74.77,635412.63
2011-01-02 19:15,75.67,635431.50
2011-01-02 19:30,75.71,635450.44
2011-01-02 19:45,76.08,635469.50
2011-01-02 20:00,76.86,635488.69
2011-01-02 20:15,74.92,635507.44
2011-01-02 20:30,75.73,635526.38
2011-01-02 20:45,76.44,635545.44
2011-01-02 21:00,76.22,635564.50
2011-01-02 21:15,75.08,635583.31
2011-01-02 21:30,77.27,635602.63
2011-01-02 21:45,75.77,635621.56
2011-01-02 22:00,75.3,635640.38
2011-01-02 22:15,75.17,635659.19
2011-01-02 22:30,76.46,635678.31
2011-01-02 22:45,74.89,635697.00
2011-01-02 23:00,75.81,635715.94
2011-01-02 23:15,74.5,635734.56
2011-01-02 23:30,75.23,635753.38
2011-01-02 23:45,75.14,635772.19
2011-01-03 0:00,73.55,635790.56
2011-01-03 0:15,74.08,635809.06
2011-01-03 0:30,74.14,635827.63
2011-01-03 0:45,75.48,635846.50
2011-01-03 1:00,74.74,635865.19
2011-01-03 1:15,74.19,635883.75
2011-01-03 1:30,74.42,635902.31
2011-01-03 1:45,74.38,635920.94
2011-01-03 2:00,73.33,635939.25
2011-01-03 2:15,61.26,635954.56
2011-01-03 2:30,62.42,635970.19
2011-01-03 2:45,61.4,635985.56
2011-01-03 3:00,62.38,636001.13
2011-01-03 3:15,61.36,636016.44
2011-01-03 3:30,62.26,636032.06
2011-01-03 3:45,62.05,636047.56
2011-01-03 4:00,62.39,636063.13
2011-01-03 4:15,61.54,636078.50
2011-01-03 4:30,61.43,636093.88
2011-01-03 4:45,62.37,636109.50
2011-01-03 5:00,62.28,636125.06
2011-01-03 5:15,62.5,636140.69
2011-01-03 5:30,62.29,636156.25
2011-01-03 5:45,60.17,636171.31
2011-01-03 6:00,61.38,636186.63
2011-01-03 6:15,62.13,636202.19
2011-01-03 6:30,61.42,636217.50
2011-01-03 6:45,61.27,636232.81
2011-01-03 7:00,61.02,636248.06
2011-01-03 7:15,62.34,636263.69
2011-01-03 7:30,61.16,636278.94
2011-01-03 7:45,62.79,636294.69
2011-01-03 8:00,63.24,636310.50
2011-01-03 8:15,72.39,636328.56
2011-01-03 8:30,72.04,636346.56
2011-01-03 8:45,70.8,636364.25
2011-01-03 9:00,71.58,636382.19
2011-01-03 9:15,72.21,636400.25
2011-01-03 9:30,71.07,636418.00
2011-01-03 9:45,71.12,636435.75
2011-01-03 10:00,73.27,636454.06
2011-01-03 10:15,72.67,636472.25
2011-01-03 10:30,73.56,636490.63
2011-01-03 10:45,73.1,636508.94
2011-01-03 11:00,73.48,636527.25
2011-01-03 11:15,72.07,636545.31
2011-01-03 11:30,73.86,636563.75
2011-01-03 11:45,73.91,636582.25
2011-01-03 12:00,74.17,636600.75
2011-01-03 12:15,75.03,636619.56
2011-01-03 12:30,73.63,636637.94
2011-01-03 12:45,75.9,636656.94
2011-01-03 13:00,75.71,636675.88
2011-01-03 13:15,74.5,636694.50
2011-01-03 13:30,74.23,636713.06
2011-01-03 13:45,76.56,636732.19
2011-01-03 14:00,76.46,636751.31
2011-01-03 14:15,77.14,636770.56
2011-01-03 14:30,78.1,636790.13
2011-01-03 14:45,76.67,636809.25
2011-01-03 15:00,78.19,636828.81
2011-01-03 15:15,77.19,636848.13
2011-01-03 15:30,75.58,636867.00
2011-01-03 15:45,76.9,636886.25
2011-01-03 16:00,77.75,636905.69
2011-01-03 16:15,76.16,636924.69
2011-01-03 16:30,77.16,636944.00
2011-01-03 16:45,78.33,636963.56
2011-01-03 17:00,78.22,636983.13
2011-01-03 17:15,78.51,637002.75
2011-01-03 17:30,78.16,637022.31
2011-01-03 17:45,77.97,637041.81
2011-01-03 18:00,78.96,637061.56
2011-01-03 18:15,76.72,637080.69
2011-01-03 18:30,75.79,637099.69
2011-01-03 18:45,76.27,637118.75
2011-01-03 19:00,77.33,637138.06
2011-01-03 19:15,76.96,637157.31
2011-01-03 19:30,76.04,637176.31
2011-01-03 19:45,75.4,637195.19
2011-01-03 20:00,74.67,637213.81
2011-01-03 20:15,74.67,637232.50
2011-01-03 20:30,74.93,637251.25
2011-01-03 20:45,75.24,637270.06
2011-01-03 21:00,76.06,637289.06
2011-01-03 21:15,73.9,637307.50
2011-01-03 21:30,74.51,637326.13
2011-01-03 21:45,75.11,637344.94
2011-01-03 22:00,75.92,637363.94
2011-01-03 22:15,75.92,637382.88
2011-01-03 22:30,76.29,637401.94
2011-01-03 22:45,76.36,637421.06
2011-01-03 23:00,75.92,637440.06
2011-01-03 23:15,75.08,637458.81
2011-01-03 23:30,75.89,637477.75
2011-01-03 23:45,74.78,637496.50
2011-01-04 0:00,75.52,637515.38
2011-01-04 0:15,75.56,637534.25
2011-01-04 0:30,75.29,637553.06
2011-01-04 0:45,75.07,637571.81
2011-01-04 1:00,73.82,637590.31
2011-01-04 1:15,74.92,637609.00
2011-01-04 1:30,75.78,637627.94
2011-01-04 1:45,75.65,637646.88
2011-01-04 2:00,74.05,637665.38
2011-01-04 2:15,63.02,637681.13
2011-01-04 2:30,62.62,637696.81
2011-01-04 2:45,62.12,637712.31
2011-01-04 3:00,63.88,637728.31
2011-01-04 3:15,63.54,637744.19
2011-01-04 3:30,63.06,637759.94
2011-01-04 3:45,63.65,637775.94
2011-01-04 4:00,62.37,637791.56
2011-01-04 4:15,62.55,637807.19
2011-01-04 4:30,64.13,637823.25
2011-01-04 4:45,63.71,637839.13
2011-01-04 5:00,63.45,637855.00
2011-01-04 5:15,62.56,637870.63
2011-01-04 5:30,62.55,637886.31
2011-01-04 5:45,63.8,637902.25
2011-01-04 6:00,62.42,637917.88
2011-01-04 6:15,61.69,637933.25
2011-01-04 6:30,63.48,637949.13
2011-01-04 6:45,64.26,637965.19
2011-01-04 7:00,65.23,637981.50
2011-01-04 7:15,71.87,637999.50
2011-01-04 7:30,72.46,638017.56
2011-01-04 7:45,77.4,638036.94
2011-01-04 8:00,91.5,638059.81
2011-01-04 8:15,98.67,638084.50
2011-01-04 8:30,95.11,638108.25
2011-01-04 8:45,96.83,638132.44
2011-01-04 9:00,98.5,638157.06
2011-01-04 9:15,100.61,638182.25
2011-01-04 9:30,106.12,638208.75
2011-01-04 9:45,108.28,638234.50
2011-01-04 10:00,103.36,638260.38
2011-01-04 10:15,105.74,638286.81
2011-01-04 10:30,119.9,638316.75
2011-01-04 10:45,110.39,638344.38
2011-01-04 11:00,112.66,638372.50
2011-01-04 11:15,113.54,638400.88
2011-01-04 11:30,113.1,638429.19
2011-01-04 11:45,109.98,638456.69
2011-01-04 12:00,111.69,638484.56
2011-01-04 12:15,112.66,638512.75
2011-01-04 12:30,117.11,638542.00
2011-01-04 12:45,118.52,638571.69
2011-01-04 13:00,121.36,638602.00
2011-01-04 13:15,121.1,638632.25
2011-01-04 13:30,122.45,638662.88
2011-01-04 13:45,121.07,638693.19
2011-01-04 14:00,122.83,638723.88
2011-01-04 14:15,123.41,638754.69
2011-01-04 14:30,122.92,638785.44
2011-01-04 14:45,124.75,638816.63
2011-01-04 15:00,126.49,638848.25
2011-01-04 15:15,122.92,638879.00
2011-01-04 15:30,119.33,638908.81
2011-01-04 15:45,112.97,638937.06
2011-01-04 16:00,112.47,638965.19
2011-01-04 16:15,110.44,638992.75
2011-01-04 16:30,111.58,639020.69
2011-01-04 16:45,114.39,639049.25
2011-01-04 17:00,109.77,639076.69
2011-01-04 17:15,105.09,639103.00
2011-01-04 17:30,104.77,639129.19
2011-01-04 17:45,100.26,639154.25
2011-01-04 18:00,100.74,639179.44
2011-01-04 18:15,99.53,639204.31
2011-01-04 18:30,102.02,639229.81
2011-01-04 18:45,99.3,639254.63
2011-01-04 19:00,99.16,639279.44
2011-01-04 19:15,98.7,639304.13
2011-01-04 19:30,98.74,639328.81
2011-01-04 19:45,97.93,639353.25
2011-01-04 20:00,98.65,639377.94
2011-01-04 20:15,97.74,639402.38
2011-01-04 20:30,93.83,639425.81
2011-01-04 20:45,90.58,639448.50
2011-01-04 21:00,87.54,639470.38
2011-01-04 21:15,86.46,639492.00
2011-01-04 21:30,86.91,639513.69
2011-01-04 21:45,86.74,639535.38
