Local Time,kW Demand,kWh_Net
29 Nov 2013 04:00 PM,1692.8765,26908.3934
29 Nov 2013 04:15 PM,1708.8847,27335.6150
29 Nov 2013 04:30 PM,1699.1999,27760.4149
29 Nov 2013 04:45 PM,1775.0430,28204.1742
29 Nov 2013 05:00 PM,1896.4280,28678.2830
29 Nov 2013 05:15 PM,1844.3270,29139.3635
29 Nov 2013 05:30 PM,1760.1223,29579.3949
29 Nov 2013 05:45 PM,1684.0259,30000.4014
29 Nov 2013 06:00 PM,1656.0136,30414.4055
29 Nov 2013 06:15 PM,1660.1719,30829.4473
29 Nov 2013 06:30 PM,1644.2652,31240.5142
29 Nov 2013 06:45 PM,1641.1387,31650.7990
29 Nov 2013 07:00 PM,1637.3330,32060.1314
29 Nov 2013 07:15 PM,1634.5198,32468.7626
29 Nov 2013 07:30 PM,1671.0374,32886.5212
29 Nov 2013 07:45 PM,1666.3525,33303.1085
29 Nov 2013 08:00 PM,1693.1215,33726.3899
29 Nov 2013 08:15 PM,1731.7300,34159.3213
29 Nov 2013 08:30 PM,1681.9813,34579.8171
29 Nov 2013 08:45 PM,1635.7150,34988.7454
29 Nov 2013 09:00 PM,1596.2253,35387.8025
29 Nov 2013 09:15 PM,1574.4008,35781.4025
29 Nov 2013 09:30 PM,1594.7833,36180.0979
29 Nov 2013 09:45 PM,1669.6928,36597.5204
29 Nov 2013 10:00 PM,1663.0870,37013.2943
29 Nov 2013 10:15 PM,1702.9926,37439.0420
29 Nov 2013 10:30 PM,1719.0747,37868.8093
29 Nov 2013 10:45 PM,1739.6099,38303.7112
29 Nov 2013 11:00 PM,1713.1566,38732.0016
29 Nov 2013 11:15 PM,1681.8943,39152.4761
29 Nov 2013 11:30 PM,1645.2592,39563.7910
29 Nov 2013 11:45 PM,1636.5661,39972.9316
30 Nov 2013 12:00 AM,1593.7209,40371.3604
30 Nov 2013 12:15 AM,1693.5923,40794.7605
30 Nov 2013 12:30 AM,1752.4440,41232.8720
30 Nov 2013 12:45 AM,1769.1089,41675.1468
30 Nov 2013 01:00 AM,1653.7282,42088.5797
30 Nov 2013 01:15 AM,1673.6677,42506.9975
30 Nov 2013 01:30 AM,1645.6964,42918.9551
30 Nov 2013 01:45 AM,1631.6689,43326.8690
30 Nov 2013 02:00 AM,1612.4545,43729.9855
30 Nov 2013 02:15 AM,1608.1487,44132.0209
30 Nov 2013 02:30 AM,1640.7273,44542.2036
30 Nov 2013 02:45 AM,1721.2091,44972.5061
30 Nov 2013 03:00 AM,1686.1173,45394.0355
30 Nov 2013 03:15 AM,1657.7269,45808.4666
30 Nov 2013 03:30 AM,1639.8828,46218.4378
30 Nov 2013 03:45 AM,1681.7828,46638.8837
30 Nov 2013 04:00 AM,1635.2564,47047.6960
30 Nov 2013 04:15 AM,1625.9654,47454.1879
30 Nov 2013 04:30 AM,1601.3629,47854.5288
30 Nov 2013 04:45 AM,1630.8931,48262.2513
30 Nov 2013 05:00 AM,1680.1367,48682.2878
30 Nov 2013 05:15 AM,1701.1092,49107.5643
30 Nov 2013 05:30 AM,1711.3588,49535.4023
30 Nov 2013 05:45 AM,1690.8849,49958.1246
30 Nov 2013 06:00 AM,1667.6501,50375.0364
30 Nov 2013 06:15 AM,1664.0836,50791.0576
30 Nov 2013 06:30 AM,1652.2936,51204.1318
30 Nov 2013 06:45 AM,1655.4104,51617.9840
