Local Time,kW Demand,kWh_Net
2011-Jan-01 00:00:00.000,103.074,3084613.000
2011-Jan-01 00:15:00.000,105.228,3084639.500
2011-Jan-01 00:30:00.000,114.511,3084668.000
2011-Jan-01 00:45:00.000,113.288,3084696.250
2011-Jan-01 01:00:00.000,112.917,3084724.500
2011-Jan-01 01:15:00.000,114.324,3084753.250
2011-Jan-01 01:30:00.000,113.805,3084781.750
2011-Jan-01 01:45:00.000,113.675,3084810.000
2011-Jan-01 02:00:00.000,106.664,3084836.750
2011-Jan-01 02:15:00.000,104.975,3084863.000
2011-Jan-01 02:30:00.000,105.423,3084889.250
2011-Jan-01 02:45:00.000,107.386,3084916.250
2011-Jan-01 03:00:00.000,115.706,3084945.000
2011-Jan-01 03:15:00.000,113.996,3084973.500
2011-Jan-01 03:30:00.000,113.500,3085002.000
2011-Jan-01 03:45:00.000,107.564,3085028.750
2011-Jan-01 04:00:00.000,105.828,3085055.250
2011-Jan-01 04:15:00.000,105.737,3085081.750
2011-Jan-01 04:30:00.000,109.652,3085109.250
2011-Jan-01 04:45:00.000,116.181,3085138.250
2011-Jan-01 05:00:00.000,114.084,3085166.750
2011-Jan-01 05:15:00.000,112.583,3085194.750
2011-Jan-01 05:30:00.000,113.951,3085223.250
2011-Jan-01 05:45:00.000,104.733,3085249.500
2011-Jan-01 06:00:00.000,105.530,3085276.000
2011-Jan-01 06:15:00.000,105.025,3085302.250
2011-Jan-01 06:30:00.000,107.673,3085329.000
2011-Jan-01 06:45:00.000,114.227,3085357.750
2011-Jan-01 07:00:00.000,113.649,3085386.000
2011-Jan-01 07:15:00.000,112.904,3085414.250
2011-Jan-01 07:30:00.000,113.144,3085442.500
2011-Jan-01 07:45:00.000,112.739,3085470.750
2011-Jan-01 08:00:00.000,112.589,3085499.000
2011-Jan-01 08:15:00.000,109.858,3085526.250
2011-Jan-01 08:30:00.000,99.528,3085551.250
2011-Jan-01 08:45:00.000,96.703,3085575.500
2011-Jan-01 09:00:00.000,95.611,3085599.500
2011-Jan-01 09:15:00.000,95.146,3085623.250
2011-Jan-01 09:30:00.000,95.574,3085647.000
2011-Jan-01 09:45:00.000,95.079,3085670.750
2011-Jan-01 10:00:00.000,105.994,3085697.250
2011-Jan-01 10:15:00.000,103.133,3085723.250
2011-Jan-01 10:30:00.000,98.327,3085747.750
2011-Jan-01 10:45:00.000,95.080,3085771.500
2011-Jan-01 11:00:00.000,93.386,3085794.750
2011-Jan-01 11:15:00.000,93.323,3085818.250
2011-Jan-01 11:30:00.000,91.405,3085841.000
2011-Jan-01 11:45:00.000,94.196,3085864.500
2011-Jan-01 12:00:00.000,93.388,3085888.000
2011-Jan-01 12:15:00.000,93.110,3085911.250
2011-Jan-01 12:30:00.000,93.166,3085934.500
2011-Jan-01 12:45:00.000,93.771,3085958.000
2011-Jan-01 13:00:00.000,93.600,3085981.250
2011-Jan-01 13:15:00.000,88.216,3086003.500
2011-Jan-01 13:30:00.000,89.523,3086025.750
2011-Jan-01 13:45:00.000,95.908,3086049.750
2011-Jan-01 14:00:00.000,93.606,3086073.250
2011-Jan-01 14:15:00.000,89.267,3086095.500
2011-Jan-01 14:30:00.000,88.165,3086117.500
